id	sentence	sentiment
38	세계경제를 보면 미국은 완만하나마 경기회복세가 이어졌으나 유로지역에서는 경제활동의 부진이 심화되었다. 신흥시장국도 선진국 경기부진의 영향 등으로 성장세가 계속 둔화되었다. 앞으로 세계경제는 회복세가 매우 완만할 것으로 예상되며 유로지역 재정위기의 실물경제 파급 및 미국의 급격한 재정긴축 현실화 가능성 등으로 성장의 하방위험이 큰 것으로 판단된다.	DOWN
40	9월중 소비자물가 상승률과 농산물 및 석유류 제외 근원인플레이션율은 각각 2.0% 1.4%의 낮은 수준을 지속하였다. 앞으로 물가상승률은 국제곡물가격 불안 등의 영향에도 불구하고 수요압력 완화 등으로 당분간 물가안정목표의 중심선(3.0%) 아래에 머물 것으로 전망된다. 주택매매가격은 수도권에서는 하락세가 소폭 확대되었고 지방에서는 대체로 전월 수준에서 안정되었다.	DOWN
42	금융통화위원회는 앞으로 해외 위험요인 및 이에 따른 국내외 금융?경제상황 변화를 면밀하게 점검하는 한편 인플레이션 기대심리를 낮추도록 계속 노력하면서 성장잠재력이 훼손되지 않는 가운데 중기적 시계에서 소비자물가 상승률이 물가안정목표 내에서 안정되도록 통화정책을 운용해 나갈 것이다.	DOWN
43	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.25%에서 3.00%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
46	 앞으로 국내경제는 유로지역 리스크 증대 주요 교역상대국 경제의 부진 등으로 GDP갭이 상당기간 마이너스를 지속할 것으로 예상된다.	DOWN
47	6월중 소비자물가 상승률은 2.2%로 낮아졌고 근원인플레이션율도 소폭 하락하였다. 앞으로 물가상승률은 공공요금 인상압력 등에도 불구하고 당분간 물가안정목표의 중심선 아래에 머물 것으로 전망된다. 주택시장을 보면 수도권에서는 매매가격이 약세를 지속하였고 전세가격은 전월 수준을 유지하였다. 지방에서는 매매가격과 전세가격의 오름세가 모두 둔화되었다.	DOWN
48	금융시장에서는 국제금융시장 불안이 완화되면서 환율이 큰 폭으로 하락하였으며 주가와 장기시장금리는 국내외 경기회복 기대 약화 등이 작용하여 소폭 하락하였다.	DOWN
49	금융통화위원회는 앞으로 해외 위험요인 및 이에 따른 국내외 금융 ? 경제상황 변화를 면밀하게 점검하는 한편 인플레이션 기대심리를 낮추도록 계속 노력하면서 견실한 경제성장이 지속되는 가운데 중기적 시계에서 소비자물가상승률이 물가안정목표의 중심선에서 안정되도록 통화정책을 운용해 나갈 것이다.	DOWN
50	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.00%에서 3.25%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
52	 국내경기는 내수가 주춤하였으나 수출이 계속 높은 신장세를 보인 데 힘입어 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 지속하고 있다.	UP
54	 소비자물가 상승률은 지난달에도 4%대 초반의 여전히 높은 수준을 나타내었다. 앞으로 경기상승으로 인한 수요 증대 인플레이션 기대심리 등으로 높은 물가상승압력이 이어질 것으로 예상된다. 근원인플레이션율은 그동안의 유가 및 농산물가격 상승 등의 영향이 가공식품가격 개인서비스요금 등에 파급되면서 3%대 중반으로 높아졌으며 앞으로도 오름세가 지속될 가능성이 있다. 주택매매가격은 수도권에서는 상승 움직임이 멈추었으며 지방에서는 높은 오름세가 계속되었다. 전세가격은 계절적 비수기 등의 영향으로 전월보다 낮은 상승률을 보였다.	UP
55	 금융시장에서는 해외 위험요인의 영향 등으로 주가와 장기시장금리가 하락하고 환율은 상승하였다. 주택담보대출은 전월보다는 증가폭이 축소되었으나 꾸준한 증가세를 나타내었다.	UP
56	 앞으로 통화정책은 국내외 금융경제상황을 종합적으로 고려하면서 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지되도록 하는 데 보다 중점을 두고 운용할 것이다.	UP
57	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.75%에서 3.00%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
58	 세계경제를 보면 신흥시장국 경제가 계속 호조를 나타내고 선진국 경제도 회복세를 이어가고 있다. 앞으로 세계경제는 북아프리카?중동지역의 정정불안 유가를 비롯한 국제원자재가격 상승 일부 유럽국가의 재정문제 등의 하방위험 요인이 있으나 회복세를 지속할 것으로 전망된다.	UP
59	 국내경기는 수출이 높은 신장세를 지속하고 내수가 꾸준히 증가하는 등 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.	UP
60	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
61	 소비자물가 상승률은 석유류 농축수산물 및 개인서비스 가격 상승 등으로 지난달 4.5% 수준으로 높아졌다. 앞으로 경기상승으로 인한 수요압력 증대 국제원자재가격 불안 인플레이션 기대심리 증대 등으로 높은 물가오름세가 지속될 가능성이 있다. 주택매매가격은 수도권에서 상승 움직임이 이어지고 지방에서는 오름세가 확대되었으며 전세가격은 계속 상승하였다.	UP
62	 금융시장에서는 해외위험요인 물가오름세 확대 등의 영향으로 주가와 장기시장금리의 변동성이 증대되었다. 주택담보대출은 전월보다 증가폭이 다소 확대되었다.	UP
63	 앞으로 통화정책은 국내외 금융경제상황을 종합적으로 고려하면서 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지되도록 하는 데 중점을 두고 운용할 것이다.	UP
64	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.50%에서 2.75%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
65	 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 완만한 회복세를 이어가고 있다. 앞으로 세계경제는 회복세를 지속할 것으로 전망되나 일부 유럽국가의 재정문제로 인한 국제금융시장 불안 국제원자재가격의 변동성 확대 등이 위험요인으로 작용할 가능성을 배제할 수는 없다.	UP
66	 국내경기는 설비투자가 감소하였으나 수출이 호조를 지속하고 소비가 꾸준히 증가하는 등 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.	UP
67	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
68	 소비자물가 상승률은 석유류 및 농산물 가격의 상승 등에 기인하여 지난달 3.5% 수준에 이르렀다. 앞으로 경기상승이 이어지고 국제원자재가격이 오르면서 물가상승압력이 지속되고 인플레이션 기대심리가 높아질 것으로 예상된다. 부동산시장에서는 전세가격 상승이 지속되는 가운데 주택매매가격은 지방에서는 오름세가 지속되고 수도권에서도 상승 움직임이 나타났다.	UP
70	 앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.	UP
71	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.25%에서 2.50%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
72	 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 대체로 완만한 회복세를 이어가고 있다. 앞으로 주요국 경기 및 환율의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성을 배제할 수 없다.	UP
74	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
75	 소비자물가는 농산물가격을 중심으로 상승률이 더욱 높아졌다. 앞으로 채소류가격의 안정 등으로 물가상승률이 다소 낮아질 것이나 경기상승이 이어지고 국제원자재 가격이 오르면서 상승압력이 지속될 것으로 예상된다. 부동산시장에서는 지방의 주택매매가격 상승세가 지속되는 가운데 수도권의 하락폭 축소 움직임이 나타났다.	UP
76	 금융시장에서는 외국인증권투자자금 유입이 지속되면서 주가가 상승하고 환율이 하락하였으며 장기시장금리는 큰 폭 하락 후 높은 물가상승률의 영향 등으로 반등하였다. 주택담보대출은 주택거래가 활발하지 않은 가운데서도 비교적 큰 폭의 증가를 지속하였다.	UP
79	 세계경제는 신흥시장국 경제의 호조가 지속되는 가운데 미국 등 주요 선진국 경제도 대체로 회복세를 이어가고 있다. 다만 일부 유럽국가의 재정문제로 인한 국제금융시장 불안 주요국 경기의 변동성 확대 등이 수시로 재연될 위험성을 배제할 수 없다. 	UP
80	 국내경기는 상승세를 지속하고 있다. 수출이 높은 신장세를 보이고 소비 투자 등 내수가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다. 	UP
81	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어갈 것으로 전망된다.	UP
82	 소비자물가는 상승률이 2%대 중후반에 머물고 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질 것으로 예상된다. 부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 추세가 지속되고 있다. 	UP
84	 앞으로 통화정책은 금융완화기조를 유지하면서 우리 경제가 물가안정의 기조 위에서 견조한 성장을 지속할 수 있도록 하는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.	UP
87	 소비자물가는 국제유가의 하향 안정과 경기부진의 영향으로 오름세가 계속 둔화되고 있으며 앞으로도 이러한 추세가 이어질 것으로 보임. 부동산시장에서는 거래 위축 및 가격 하락 현상이 지속되고 있음	DOWN
88	 금융시장에서는 환율 주가 등 가격변수가 대체로 안정적인 움직임을 보였으나 신용위험을 우려한 금융기관의 보수적 자금운용으로 기업이 자금조달에 여전히 어려움을 겪고 있음	DOWN
89	 앞으로 통화정책은 유동성 상황을 개선하고 경기의 과도한 위축을 방지하는 데 주안점을 두고 운용해 나갈 것임	DOWN
90	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.00%에서 2.50%로 하향조정하여 통화정책을 운용하기로 하였음	DOWN
91	 최근 국내 경기는 소비 투자 등 내수 부진이 한층 심화되고 세계경제의 침체로 수출도 큰 폭으로 감소하면서 급속히 위축되고 있으며 신용경색 등 금융시장 불안 지속으로 향후 성장의 하향위험도 큰 것으로 판단됨	DOWN
92	 소비자물가는 국제유가의 하락과 경기부진의 영향으로 오름세가 계속 둔화되고 있으며 앞으로도 이러한 추세가 이어질 것으로 보임. 부동산시장에서는 거래 위축 및 가격 하락 현상이 지속되고 있음	DOWN
93	 금융시장에서는 환율 주가 등 가격변수의 불안정성이 다소 완화되었으나 신용위험을 우려한 금융기관의 보수적 자금 운용으로 기업이 자금조달에 큰 어려움을 겪고 있음	DOWN
94	 앞으로 통화정책은 유동성 상황을 개선하고 경기의 과도한 위축을 방지하는 데 주안점을 두고 운용해 나갈 것임	DOWN
95	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 4.00%에서 3.00%로 하향조정하여 통화정책을 운용하기로 하였음	DOWN
96	 최근 국내 경기는 소비 투자 등 내수 부진이 심화되는 데다 수출도 감소로 돌아서면서 빠르게 둔화되고 있으며 신용경색 등 금융시장 불안과 함께 세계경제의 침체로 향후 성장이 크게 위축될 가능성이 높은 것으로 판단됨	DOWN
97	 소비자물가는 원/달러 환율 상승에도 불구하고 국제유가 하락과 경기둔화의 영향으로 오름세가 계속 둔화되고 있음. 부동산시장에서는 거래 위축 및 가격 하락 현상이 지속되고 있음	DOWN
98	 금융시장에서는 환율 주가 등 가격변수가 높은 변동성을 보이는 가운데 외국인 투자자금 유출 및 금융기관의 여신태도 강화 지속 등으로 기업의 자금조달 여건이 악화되고 있음	DOWN
99	 앞으로 통화정책은 유동성 상황을 개선하고 경기의 과도한 위축을 방지하는 데 주안점을 두고 운용해 나갈 것임	DOWN
102	 소비자물가는 원/달러 환율 상승에도 불구하고 국제유가 하락과 경기둔화의 영향으로 오름세가 점차 둔화되고 있음. 부동산시장에서는 거래가 위축된 가운데 가격이 하락 움직임을 나타내고 있음	DOWN
105	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 5.25%에서 5.00%로 하향조정하여 통화정책을 운용하기로 하였음	DOWN
106	 최근 국내 경기는 수출이 높은 신장세를 지속하고 있으나 내수 부진으로 인해 둔화 움직임이 뚜렷해지고 있으며 국제금융시장 불안 세계 경기 위축 등으로 향후 성장의 하향리스크도 높아진 것으로 판단됨	DOWN
108	 금융시장에서는 국제금융시장 불안 확산의 영향으로 환율 주가 등 가격변수가 불안정한 움직임을 보이는 가운데 금융기관의 여신태도가 강화되고 있음	DOWN
109	 이번 기준금리 인하는 금융시장 불안을 완화하고 경기가 과도하게 위축되지 않도록 하기 위한 것임	DOWN
110	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 5.00%에서 5.25%로 상향조정하여 통화정책을 운용하기로 하였음	UP
111	 최근 국내 경기는 수출이 호조를 보이고 있으나 내수 증가율이 낮은 수준에 머물면서 둔화되고 있는 것으로 판단되며 국제유가 변동성 확대 국제금융시장 불안 미국 경기 부진 등으로 향후 경기흐름의 불확실성도 높은 상황임	UP
113	 금융시장에서는 시중유동성이 풍부한 가운데 금융기관 여신이 증가세를 지속하였음	UP
114	 이번 기준금리 인상은 높은 물가상승세로 인해 인플레이션 기대심리가 확산될 소지를 줄이기 위한 것임	UP
115	 금융통화위원회는 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 4.75%에서 5.00%로 상향조정하여 운용하기로 하였음	UP
117	 소비자물가는 국제유가 상승에도 불구하고 대체로 안정세를 유지하고 있으며 부동산가격의 오름세도 제한되고 있음	UP
118	 금융시장에서는 시중유동성이 여전히 풍부한 가운데 금융기관 여신도 증가세를 지속하고 있음	UP
119	 이번 콜금리 목표 인상으로 금융완화의 정도가 크게 축소될 것으로 판단됨	UP
120	 금융통화위원회는 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 4.50%에서 4.75%로 상향조정하여 운용하기로 하였음	UP
122	 소비자물가는 국제유가 상승에도 불구하고 농수산물가격 하락 등으로 안정세를 보이고 있으며 부동산가격의 오름세도 뚜렷이 둔화되고 있음	UP
123	 금융시장에서는 시중유동성이 풍부한 가운데 금융기관 여신이 중소기업대출을 중심으로 큰 폭으로 늘어나고 있음	UP
124	 인상조정된 콜금리 목표는 여전히 경기회복을 뒷받침하는 수준인 것으로 판단됨	UP
125	 실물경제는 건설투자가 부진하나 수출이 견실한 신장세를 유지하고 민간소비가 회복세를 지속하는 가운데 설비투자도 증가세를 이어가고 있음	UP
126	 경상수지는 상품수지를 중심으로 흑자를 나타내었음	UP
127	 물가는 근원인플레이션과 소비자물가 모두 안정세를 보이고 있으나 경기회복과 고유가에 따른 상승압력이 지속되고 있음. 한편 부동산가격은 오름세가 둔화되고 있음	UP
129	 이와 같은 점을 종합적으로 감안하여 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 4.25%에서 4.50%로 상향조정하여 운용함	UP
130	 실물경제는 건설투자의 증가가 미약하나 수출 신장세가 확대되고 민간소비가 회복세를 지속하는 가운데 설비투자도 증가세를 이어가고 있음	UP
131	 경상수지는 상품수지의 흑자폭 축소와 대외배당금 지급 등으로 일시적으로 큰 폭의 적자를 기록하였음	UP
132	 물가는 근원인플레이션과 소비자물가 모두 안정세를 보이고 있으나 경기회복과 고유가 지속으로 상승압력이 점증하고 있으며 부동산가격도 오름세를 나타내고 있음	UP
133	 금융시장에서는 유동성사정이 원활하고 금융기관 여신도 큰 폭으로 늘어나고 있음	UP
134	 이와 같은 점을 종합적으로 감안하여 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 4.00%에서 4.25%로 상향조정하여 운용함	UP
135	 실물경제는 건설투자의 증가가 미약하나 수출이 견조한 증가세를 유지하고 민간소비의 신장세가 확대되는 가운데 설비투자도 점차 회복되고 있음	UP
137	 물가는 근원인플레이션과 소비자물가 모두 안정세를 보이고 있으나 경기회복과 고유가에 따른 상승압력이 잠재되어 있으며 부동산가격은 일부 지역을 중심으로 오름세를 나타내고 있음	UP
138	 금융시장에서는 유동성사정이 원활하고 금융기관 여신도 꾸준히 늘어나고 있음	UP
139	 이와 같은 점을 종합적으로 감안하여 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 3.75%에서 4.00%로 상향조정하여 운용함 	UP
140	 실물경제는 설비투자 개선이 미흡하고 건설투자가 다소 둔화되는 움직임을 나타내고 있으나 수출이 높은 신장세를 유지하는 가운데 민간소비도 견실한 회복세를 지속하고 있음	UP
142	 물가는 근원인플레이션과 소비자물가 모두 안정세를 보이고 있으나 경기회복과 고유가 지속에 따른 상승압력이 잠재되어 있으며 부동산가격도 국지적으로는 상승기미가 나타나고 있음	UP
143	 금융시장에서는 유동성사정이 원활하고 금융기관 여신도 꾸준히 늘어나고 있으나 장기시장금리는 비교적 큰 폭으로 상승하였음	UP
144	 이와 같은 점을 종합적으로 감안하여 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 3.50%에서 3.75%로 상향조정하여 운용함	UP
145	 실물경제는 설비투자와 건설투자의 개선이 미흡하나 수출이 높은 신장세를 보이는 가운데 민간소비가 견실한 회복세를 지속하고 있음	UP
146	 경상수지는 흑자기조를 이어가고 있으나 수입수요 증가로 흑자폭은축소되고 있음	UP
147	 물가는 근원인플레이션과 소비자물가 모두 안정세를 나타내고 부동산 가격의 오름세도 둔화되고 있으나 고유가 지속으로 비용측면에서의 상승압력이 잠재되어 있음	UP
149	 이와 같은 점을 종합적으로 감안하여 다음 통화정책방향 결정시까지 콜금리(무담보 익일물 기준) 목표를 현재의 3.25%에서 3.5%로 상향조정하여 운용함 	UP
150	 실물경제는 민간소비 및 설비투자가 계속 저조한 가운데 수출 및 건설투자의 신장세도 점차 둔화되고 있어 성장의 하방위험이 증대될 우려가 있음 	DOWN
151	 경상수지는 상품수지를 중심으로 흑자기조를 유지하고 있음	DOWN
152	 물가면에서는 고유가 등 불안요인이 상존하고 있으나 내수저조로 수요 압력이 미약하여 근원인플레이션율은 목표범위 내에서 머물고 있음	DOWN
153	 금융시장에서는 전반적으로 유동성 사정이 원활하였으나 금융기관의 신용위험에 대한 높은 민감도로 인해 중소기업의 자금조달 여건은여전히 개선되지 않고 있음	DOWN
