	id	sentence	sentiment
10	11	금융시장에서는 미 연준의 정책금리 인상기대 강화 등의 영향으로 주가가 하락하고 원/달러 환율이 상승하였다. 원/엔 환율은 일정 범위 내에서 등락하였다. 장기시장금리는 주요국 금리 움직임 국내 경제지표 등을 반영하여 상승 후 반락하였다. 은행 가계대출은 주택담보대출을 중심으로 예년 수준을 크게 상회하는 증가세를 이어갔다.	DOWN
11	12	금융통화위원회는 앞으로 성장세 회복이 이어지는 가운데 중기적 시계에서 물가안정기조가 유지되도록 하는 한편 금융안정에 더욱 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 가계부채의 증가세 주요국의 통화정책 변화 등 해외 위험요인 자본유출입 동향 등을 면밀히 점검해 나갈 것이다.	DOWN
12	13	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.00%에서 1.75%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
13	14	세계경제를 보면 미국에서는 견실한 회복세가 지속되고 유로지역에서도 완만하나마 개선 움직임이 나타났으나 중국 등 신흥시장국의 성장세는 둔화되었다. 앞으로 세계경제는 미국 등 선진국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 주요국의 통화정책 변화 신흥시장국의 성장세 약화 지정학적 리스크 등에 영향받을 가능성이 상존하고 있다.	DOWN
14	15	국내경제를 보면 수출이 석유제품 등의 단가하락 등에 기인하여 감소하고 민간소비 설비투자 등 내수가 부진한 모습을 나타내었으며 경제주체들의 심리도 뚜렷이 회복되지 못하였다. 고용 면에서는 취업자수가 50세 이상 연령층과 서비스업을 중심으로 꾸준히 증가하였다. 앞으로 국내경제는 완만한 회복세를 나타낼 것이나 당초에 전망한 성장경로를 하회할 것으로 예상된다. 이에 따라 GDP갭의 마이너스 상태 지속기간도 예상보다 길어질 것으로 판단된다.	DOWN
15	16	2월중 소비자물가 상승률은 석유류가격의 하락폭이 확대되고 석유류 제외 공업제품가격의 오름세가 둔화되면서 전월의 0.8%에서 0.5%로 낮아졌다. 농산물 및 석유류 제외 근원인플레이션율은 전월의 2.4%에서 2.3%로 소폭 하락하였다. 앞으로 물가상승률은 저유가의 영향 등으로 당초 전망보다 낮은 수준을 이어갈 것으로 보인다. 주택매매가격의 오름세는 소폭 확대되었으며 전세가격은 수도권을 중심으로 상승세를 이어갔다.	DOWN
16	17	금융시장에서는 주가가 외국인 주식 순매수 등으로 상승하였다가 최근 주요국 주가하락 등에 영향받아 하락하였다. 원/달러 환율은 글로벌 미 달러화 강세 엔화 약세에 따른 동조현상 등으로 상승하였으며 원/엔 환율은 일정 범위 내에서 등락하였다. 장기시장금리는 상승 후 하락하였다. 은행 가계대출은 주택담보대출을 중심으로 예년 수준을 상회하는 증가세를 이어갔다.	DOWN
17	18	금융통화위원회는 앞으로 성장세 회복을 지원하는 가운데 중기적 시계에서 물가안정기조가 유지되도록 하는 한편 금융안정에 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 국제유가 및 주요국의 통화정책 변화 등 해외 위험요인 경제 내의 유휴생산능력 추이 가계부채 및 자본유출입 동향 등을 면밀히 점검해 나갈 것이다.	DOWN
18	19	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.25%에서 2.00%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
19	20	세계경제를 보면 미국에서는 회복세가 지속되었으나 유로지역에서는 경기부진이 이어졌으며 신흥시장국에서는 국가별로 차별화된 성장세를 나타내었다. 앞으로 세계경제는 미국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 미 연준의 통화정책 기조 변화에 따른 글로벌 금융시장 여건 변화 유로지역의 경기부진 장기화 일부 신흥시장국의 성장세 약화 지정학적 리스크 등에 영향받을 가능성이 상존하고 있다.	DOWN
20	21	국내경제를 보면 수출이 양호한 모습을 지속하고 소비도 다소 개선되었으나 설비투자가 여전히 부진하고 경제주체들의 심리도 부분적인 회복에 그쳤다. 고용 면에서는 취업자수가 50세 이상 연령층과 서비스업을 중심으로 꾸준히 증가하였다. 앞으로 마이너스 GDP갭은 점차 축소될 것이나 동 갭의 해소 시기는 종전 전망보다 다소 늦어질 것으로 예상된다.	DOWN
21	22	9월중 소비자물가 상승률은 석유류가격의 하락폭 확대와 공업제품가격의 오름세 둔화 등으로 전월의 1.4%에서 1.1%로 낮아졌으며 농산물 및 석유류 제외 근원인플레이션율도 전월의 2.4%에서 1.9%로 하락하였다. 앞으로 물가상승률은 농산물가격 및 국제유가의 안정 등으로 낮은 수준을 이어가다가 내년 들어 점차 높아지겠으나 상승압력은 종전 예상에 비해 다소 약할 것으로 보인다. 주택시장을 보면 매매가격은 수도권과 지방에서 모두 오름세가 확대되었다. 전세가격은 수도권에서 상승폭이 다소 커졌으며 지방에서는 전월 수준의 오름세를 나타내었다.	DOWN
22	23	금융시장에서는 국제금융시장의 변동성이 확대된 가운데 외국인 투자자의 주식 순매도세 전환 등의 영향으로 주가가 큰 폭으로 하락하였다. 원/달러 환율은 빠르게 상승하였으며 장기시장금리는 상당폭 하락하였다.	DOWN
23	24	금융통화위원회는 앞으로 성장세 회복을 지원하는 가운데 중기적 시계에서 물가안정기조가 유지되도록 하는 한편 금융안정에 더욱 유의하여 통화정책을 운용해 나갈 것이다. 이 과정에서 미 연준의 통화정책 기조 변화 등 해외 위험요인 가계부채 및 자본유출입 동향 등을 면밀히 점검해 나갈 것이다.	DOWN
24	25	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.50%에서 2.25%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
25	26	세계경제를 보면 미국에서는 경기회복세가 지속되었으나 유로지역에서는 경기회복세가 여전히 미약한 모습을 보였으며 신흥시장국에서는 국가별로 차별화된 성장세를 나타내었다. 앞으로 세계경제는 선진국을 중심으로 완만한 회복세를 지속할 것으로 전망되나 미 연준의 통화정책 기조 변화에 따른 글로벌 금융시장 여건 변화 일부 신흥시장국의 성장세 약화 지정학적 리스크 등에 영향받을 가능성이 상존하고 있다.	DOWN
26	27	국내경제를 보면 수출이 호조를 지속하였으나 세월호 사고의 영향 등으로 위축되었던 내수의 개선은 미흡하였으며 경제주체들의 소비 및 투자 심리도 계속 부진한 모습을 나타내었다. 고용 면에서는 취업자수가 50세 이상 연령층과 서비스업을 중심으로 늘어나면서 증가규모가 확대되었다. 앞으로 마이너스 GDP갭은 점차 축소될 것이나 그 속도는 완만할 것으로 예상된다.	DOWN
27	28	7월중 소비자물가 상승률은 농산물 및 석유류 가격의 하락폭이 확대되면서 전월의 1.7%에서 1.6%로 낮아졌다. 농산물 및 석유류 제외 근원인플레이션율은 전월의 2.1%에서 2.2%로 소폭 상승하였다. 앞으로 물가상승률은 점차 높아지겠으나 당분간 상승압력은 크지 않을 것으로 판단된다. 주택매매가격은 지방에서 소폭의 오름세를 보였으며 전세가격은 수도권과 지방에서 모두 소폭의 상승세를 이어갔다.	DOWN
28	29	 금융시장에서는 주가가 정부의 경제정책 발표 등에 힘입어 큰 폭 상승한 후 지정학적 리스크 등으로 소폭 반락하였다. 환율은 글로벌 미 달러화 강세 등의 영향으로 상승하였으며 장기시장금리는 하락하였다.	DOWN
29	30	금융통화위원회는 앞으로 성장세 회복을 지원하는 가운데 중기적 시계에서 소비자물가 상승률이 물가안정목표 범위 내에서 유지되도록 통화정책을 운용해 나갈 것이다. 이 과정에서 이번 기준금리 인하와 정부 경제정책 등의 효과를 지켜보면서 주요국의 통화정책 변화 등 해외 위험요인 경제주체들의 심리 변화 가계부채 동향을 비롯하여 앞으로 입수되는 경제지표의 움직임 등을 면밀히 점검해 나갈 것이다.	DOWN
30	31	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.75%에서 2.50%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
31	32	세계경제를 보면 미국에서는 완만한 경기회복세가 이어졌으나 유로지역에서는 경제활동의 부진이 심화되었으며 중국 등 신흥시장국에서는 경제지표의 개선추세가 당초 예상에 미치지 못하였다. 이에 따라 유럽중앙은행을 포함한 일부 중앙은행에서는 정책금리를 인하하였다. 앞으로 세계경제는 완만한 회복세를 이어갈 것으로 예상되나 유로지역의 경기부진 및 주요국 재정건전화 추진 등과 관련한 불확실성 등으로 성장의 하방위험이 여전히 높은 수준으로 남아있다.	DOWN
32	33	국내경제를 보면 수출이 완만하나마 회복세를 유지하였으나 내수 관련 지표가 개선과 악화를 반복하면서 성장세가 계속 미약하였다. 고용 면에서는 취업자수 증가규모가 50대 이상 연령층을 중심으로 확대되었다. 앞으로 국내경제가 세계경제의 더딘 회복세 엔화 약세 및 국내 지정학적 위험의 영향 등으로 상당기간 마이너스의 GDP갭을 나타낼 것이라는 전망에는 변화가 없다.	DOWN
33	34	4월중 소비자물가 상승률은 전월의 1.3%와 유사한 1.2%를 기록하였으며 농산물 및 석유류 제외 근원인플레이션율도 전월의 1.5%와 비슷한 1.4%를 나타냈다. 앞으로 물가상승률은 공급측면에서 특이요인이 발생하지 않는 한 당분간 낮게 유지될 것으로 전망된다. 주택매매가격의 경우 수도권에서는 거래가 증가하면서 하락세가 둔화되었으며 지방에서는 완만한 상승세가 이어졌다.	DOWN
34	35	금융시장에서는 주가와 환율이 국내 지정학적 위험 및 기업실적 악화 우려와 이에 따른 외국인 주식투자자금 유출 상황에 주로 영향받아 큰 폭으로 변동하였다. 장기시장금리는 외국인 국채선물투자에 의해 크게 영향받는 가운데 통화정책 및 경기에 대한 기대의 변화 등에 따라 등락하였다.	DOWN
35	36	금융통화위원회는 앞으로 이번 금리인하와 추가경정예산을 포함한 정부의 경제정책 효과를 면밀하게 점검하면서 경제주체들의 심리를 개선하고 인플레이션 기대심리를 낮추도록 노력하는 한편 저성장 지속으로 성장잠재력이 훼손되지 않도록 하는 가운데 중기적 시계에서 소비자물가 상승률이 물가안정목표 범위 내에서 유지되도록 통화정책을 운용해 나갈 것이다.	DOWN
36	37	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.00%에서 2.75%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
37	38	세계경제를 보면 미국은 완만하나마 경기회복세가 이어졌으나 유로지역에서는 경제활동의 부진이 심화되었다. 신흥시장국도 선진국 경기부진의 영향 등으로 성장세가 계속 둔화되었다. 앞으로 세계경제는 회복세가 매우 완만할 것으로 예상되며 유로지역 재정위기의 실물경제 파급 및 미국의 급격한 재정긴축 현실화 가능성 등으로 성장의 하방위험이 큰 것으로 판단된다.	DOWN
38	39	국내경제를 보면 수출과 내수가 동반 부진함에 따라 성장세가 미약하였다. 고용 면에서는 취업자수가 고령층 및 서비스업 중심의 증가세를 이어가는 가운데 제조업에서도 증가폭이 확대되었다. 앞으로 국내경제는 유로지역 재정위기의 장기화 글로벌 경제의 부진 지속 등으로 마이너스의 GDP갭이 상당기간 지속될 것으로 예상된다.	DOWN
39	40	9월중 소비자물가 상승률과 농산물 및 석유류 제외 근원인플레이션율은 각각 2.0% 1.4%의 낮은 수준을 지속하였다. 앞으로 물가상승률은 국제곡물가격 불안 등의 영향에도 불구하고 수요압력 완화 등으로 당분간 물가안정목표의 중심선(3.0%) 아래에 머물 것으로 전망된다. 주택매매가격은 수도권에서는 하락세가 소폭 확대되었고 지방에서는 대체로 전월 수준에서 안정되었다.	DOWN
40	41	금융시장에서는 주요 선진국의 추가 양적완화정책에 따른 국제금융시장 상황 개선 및 외국인 증권투자자금 유입 등으로 주가는 상승하였고 환율은 하락하였다. 장기시장금리는 경기둔화 우려 등으로 소폭 하락하였다.	DOWN
41	42	금융통화위원회는 앞으로 해외 위험요인 및 이에 따른 국내외 금융?경제상황 변화를 면밀하게 점검하는 한편 인플레이션 기대심리를 낮추도록 계속 노력하면서 성장잠재력이 훼손되지 않는 가운데 중기적 시계에서 소비자물가 상승률이 물가안정목표 내에서 안정되도록 통화정책을 운용해 나갈 것이다.	DOWN
42	43	금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.25%에서 3.00%로 하향 조정하여 통화정책을 운용하기로 하였다.	DOWN
43	44	세계경제를 보면 미국은 일부 경제지표가 악화되는 모습을 보였으며 유로지역에서는 경제활동의 부진이 심화되었다. 신흥시장국의 성장세도 수출 부진 등으로 계속 둔화되었다. 앞으로 세계경제의 회복세는 당초 예상보다 완만할 것으로 예상되며 유로지역 재정위기를 둘러싼 높은 불확실성 국제금융시장 불안 및 주요국 경제의 부진 가능성 등으로 성장의 하방위험이 더욱 커지고 있는 것으로 판단된다.	DOWN
44	45	국내경제를 보면 수출과 내수의 증가율이 낮은 수준에 머물면서 성장세가 당초 예상보다 부진하였다. 고용 면에서는 고령층 서비스업을 중심으로 취업자수의 증가세가 지속되고 있다.	DOWN
45	46	 앞으로 국내경제는 유로지역 리스크 증대 주요 교역상대국 경제의 부진 등으로 GDP갭이 상당기간 마이너스를 지속할 것으로 예상된다.	DOWN
46	47	6월중 소비자물가 상승률은 2.2%로 낮아졌고 근원인플레이션율도 소폭 하락하였다. 앞으로 물가상승률은 공공요금 인상압력 등에도 불구하고 당분간 물가안정목표의 중심선 아래에 머물 것으로 전망된다. 주택시장을 보면 수도권에서는 매매가격이 약세를 지속하였고 전세가격은 전월 수준을 유지하였다. 지방에서는 매매가격과 전세가격의 오름세가 모두 둔화되었다.	DOWN
47	48	금융시장에서는 국제금융시장 불안이 완화되면서 환율이 큰 폭으로 하락하였으며 주가와 장기시장금리는 국내외 경기회복 기대 약화 등이 작용하여 소폭 하락하였다.	DOWN
48	49	금융통화위원회는 앞으로 해외 위험요인 및 이에 따른 국내외 금융 ? 경제상황 변화를 면밀하게 점검하는 한편 인플레이션 기대심리를 낮추도록 계속 노력하면서 견실한 경제성장이 지속되는 가운데 중기적 시계에서 소비자물가상승률이 물가안정목표의 중심선에서 안정되도록 통화정책을 운용해 나갈 것이다.	DOWN
49	50	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.00%에서 3.25%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
50	51	 세계경제를 보면 선진국 경제는 회복세가 다소 지연되는 모습을 보였으나 신흥시장국 경제는 계속 호조를 나타내고 있다. 앞으로 세계경제는 회복세를 이어갈 것으로 전망되나 일부 유럽국가의 재정문제 북아프리카?중동지역의 정정불안 일본 대지진의 영향 등이 하방위험 요인으로 작용할 가능성이 있다.	UP
51	52	 국내경기는 내수가 주춤하였으나 수출이 계속 높은 신장세를 보인 데 힘입어 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 지속하고 있다.	UP
52	53	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
53	54	 소비자물가 상승률은 지난달에도 4%대 초반의 여전히 높은 수준을 나타내었다. 앞으로 경기상승으로 인한 수요 증대 인플레이션 기대심리 등으로 높은 물가상승압력이 이어질 것으로 예상된다. 근원인플레이션율은 그동안의 유가 및 농산물가격 상승 등의 영향이 가공식품가격 개인서비스요금 등에 파급되면서 3%대 중반으로 높아졌으며 앞으로도 오름세가 지속될 가능성이 있다. 주택매매가격은 수도권에서는 상승 움직임이 멈추었으며 지방에서는 높은 오름세가 계속되었다. 전세가격은 계절적 비수기 등의 영향으로 전월보다 낮은 상승률을 보였다.	UP
54	55	 금융시장에서는 해외 위험요인의 영향 등으로 주가와 장기시장금리가 하락하고 환율은 상승하였다. 주택담보대출은 전월보다는 증가폭이 축소되었으나 꾸준한 증가세를 나타내었다.	UP
55	56	 앞으로 통화정책은 국내외 금융경제상황을 종합적으로 고려하면서 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지되도록 하는 데 보다 중점을 두고 운용할 것이다.	UP
56	57	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.75%에서 3.00%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
57	58	 세계경제를 보면 신흥시장국 경제가 계속 호조를 나타내고 선진국 경제도 회복세를 이어가고 있다. 앞으로 세계경제는 북아프리카?중동지역의 정정불안 유가를 비롯한 국제원자재가격 상승 일부 유럽국가의 재정문제 등의 하방위험 요인이 있으나 회복세를 지속할 것으로 전망된다.	UP
58	59	 국내경기는 수출이 높은 신장세를 지속하고 내수가 꾸준히 증가하는 등 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.	UP
59	60	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
60	61	 소비자물가 상승률은 석유류 농축수산물 및 개인서비스 가격 상승 등으로 지난달 4.5% 수준으로 높아졌다. 앞으로 경기상승으로 인한 수요압력 증대 국제원자재가격 불안 인플레이션 기대심리 증대 등으로 높은 물가오름세가 지속될 가능성이 있다. 주택매매가격은 수도권에서 상승 움직임이 이어지고 지방에서는 오름세가 확대되었으며 전세가격은 계속 상승하였다.	UP
61	62	 금융시장에서는 해외위험요인 물가오름세 확대 등의 영향으로 주가와 장기시장금리의 변동성이 증대되었다. 주택담보대출은 전월보다 증가폭이 다소 확대되었다.	UP
62	63	 앞으로 통화정책은 국내외 금융경제상황을 종합적으로 고려하면서 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지되도록 하는 데 중점을 두고 운용할 것이다.	UP
63	64	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.50%에서 2.75%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
64	65	 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 완만한 회복세를 이어가고 있다. 앞으로 세계경제는 회복세를 지속할 것으로 전망되나 일부 유럽국가의 재정문제로 인한 국제금융시장 불안 국제원자재가격의 변동성 확대 등이 위험요인으로 작용할 가능성을 배제할 수는 없다.	UP
65	66	 국내경기는 설비투자가 감소하였으나 수출이 호조를 지속하고 소비가 꾸준히 증가하는 등 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.	UP
66	67	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
67	68	 소비자물가 상승률은 석유류 및 농산물 가격의 상승 등에 기인하여 지난달 3.5% 수준에 이르렀다. 앞으로 경기상승이 이어지고 국제원자재가격이 오르면서 물가상승압력이 지속되고 인플레이션 기대심리가 높아질 것으로 예상된다. 부동산시장에서는 전세가격 상승이 지속되는 가운데 주택매매가격은 지방에서는 오름세가 지속되고 수도권에서도 상승 움직임이 나타났다.	UP
68	69	 금융시장에서는 외국인 주식투자자금 유입 확대 지정학적 위험 완화 기대 등으로 주가가 크게 상승하고 환율은 하락하였다. 장기시장금리는 물가상승 기대 외국인의 채권 순매도 등의 영향으로 상승하였다. 주택담보대출은 주택거래가 늘어난 가운데 큰 폭으로 증가하였다.	UP
69	70	 앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데 물가안정기조가 확고히 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.	UP
70	71	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.25%에서 2.50%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
71	72	 세계경제는 신흥시장국 경제가 호조를 지속하고 있으며 선진국 경제도 대체로 완만한 회복세를 이어가고 있다. 앞으로 주요국 경기 및 환율의 변동성 확대 등이 세계경제의 위험요인으로 작용할 가능성을 배제할 수 없다.	UP
72	73	 국내경기는 설비투자가 주춤하였으나 수출이 호조를 지속하고 소비가 증가하는 등 상승기조를 유지하고 있다. 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다.	UP
73	74	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승기조를 이어갈 것으로 전망된다.	UP
74	75	 소비자물가는 농산물가격을 중심으로 상승률이 더욱 높아졌다. 앞으로 채소류가격의 안정 등으로 물가상승률이 다소 낮아질 것이나 경기상승이 이어지고 국제원자재 가격이 오르면서 상승압력이 지속될 것으로 예상된다. 부동산시장에서는 지방의 주택매매가격 상승세가 지속되는 가운데 수도권의 하락폭 축소 움직임이 나타났다.	UP
75	76	 금융시장에서는 외국인증권투자자금 유입이 지속되면서 주가가 상승하고 환율이 하락하였으며 장기시장금리는 큰 폭 하락 후 높은 물가상승률의 영향 등으로 반등하였다. 주택담보대출은 주택거래가 활발하지 않은 가운데서도 비교적 큰 폭의 증가를 지속하였다.	UP
76	77	 앞으로 통화정책은 우리 경제가 견조한 성장을 지속하는 가운데 물가안정이 유지될 수 있도록 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.	UP
77	78	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.00%에서 2.25%로 상향 조정하여 통화정책을 운용하기로 하였다.	UP
78	79	 세계경제는 신흥시장국 경제의 호조가 지속되는 가운데 미국 등 주요 선진국 경제도 대체로 회복세를 이어가고 있다. 다만 일부 유럽국가의 재정문제로 인한 국제금융시장 불안 주요국 경기의 변동성 확대 등이 수시로 재연될 위험성을 배제할 수 없다. 	UP
79	80	 국내경기는 상승세를 지속하고 있다. 수출이 높은 신장세를 보이고 소비 투자 등 내수가 꾸준히 증가하고 있으며 고용사정도 민간부문을 중심으로 개선추세를 나타내고 있다. 	UP
80	81	 앞으로 국내경기는 해외 위험요인이 상존하는 가운데 상승세를 이어갈 것으로 전망된다.	UP
81	82	 소비자물가는 상승률이 2%대 중후반에 머물고 있으나 앞으로 경기상승세 지속에 따른 수요압력 증대 등으로 상승압력이 계속 커질 것으로 예상된다. 부동산시장에서는 주택매매가격이 수도권은 하락하고 지방은 상승하는 추세가 지속되고 있다. 	UP
82	83	 금융시장에서는 장기시장금리가 국내경기 상황 등을 반영하여 상승하였으며 주가와 환율은 해외 불안요인의 영향 등으로 큰 폭의 변동을 나타내었다. 주택담보대출은 주택거래가 활발하지 않았음에도 불구하고 낮은 대출금리 등의 영향으로 증가규모가 확대되었다.	UP
83	84	 앞으로 통화정책은 금융완화기조를 유지하면서 우리 경제가 물가안정의 기조 위에서 견조한 성장을 지속할 수 있도록 하는 방향으로 운용하되 국내외 금융경제상황을 종합적으로 고려하여 수행해 나갈 것이다.	UP
84	85	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 2.50%에서 2.00%로 하향조정하여 통화정책을 운용하기로 하였음	DOWN
85	86	 최근 국내 경기는 소비 투자 등 내수가 한층 더 위축되고 수출이 급격히 감소하면서 하강속도가 빨라지고 있으며 세계경제 침체 심화 및 신용경색 지속 가능성 등으로 향후 성장의 하향위험도 매우 큰 것으로 판단됨	DOWN
86	87	 소비자물가는 국제유가의 하향 안정과 경기부진의 영향으로 오름세가 계속 둔화되고 있으며 앞으로도 이러한 추세가 이어질 것으로 보임. 부동산시장에서는 거래 위축 및 가격 하락 현상이 지속되고 있음	DOWN
87	88	 금융시장에서는 환율 주가 등 가격변수가 대체로 안정적인 움직임을 보였으나 신용위험을 우려한 금융기관의 보수적 자금운용으로 기업이 자금조달에 여전히 어려움을 겪고 있음	DOWN
88	89	 앞으로 통화정책은 유동성 상황을 개선하고 경기의 과도한 위축을 방지하는 데 주안점을 두고 운용해 나갈 것임	DOWN
89	90	 금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현재의 3.00%에서 2.50%로 하향조정하여 통화정책을 운용하기로 하였음	DOWN
90	91	 최근 국내 경기는 소비 투자 등 내수 부진이 한층 심화되고 세계경제의 침체로 수출도 큰 폭으로 감소하면서 급속히 위축되고 있으며 신용경색 등 금융시장 불안 지속으로 향후 성장의 하향위험도 큰 것으로 판단됨	DOWN
91	92	 소비자물가는 국제유가의 하락과 경기부진의 영향으로 오름세가 계속 둔화되고 있으며 앞으로도 이러한 추세가 이어질 것으로 보임. 부동산시장에서는 거래 위축 및 가격 하락 현상이 지속되고 있음	DOWN
92	93	 금융시장에서는 환율 주가 등 가격변수의 불안정성이 다소 완화되었으나 신용위험을 우려한 금융기관의 보수적 자금 운용으로 기업이 자금조달에 큰 어려움을 겪고 있음	DOWN
